name,latitude,longitude
Ronneby,56.17472222,15.3
Soderhamn,61.30833333,17.0893404
Vastervik,57.75583333,16.65194346
Visby,57.63555556,18.2746172
Tekirdag,40.9675,27.50795053
Tanga,-5.065555556,39.10318021
Kherson,46.61861111,32.60742049
Colonia,-34.47166667,-57.84216726
Cordova,60.55,-145.7563604
Ketchikan,55.34694444,-131.6712603
Bangor,44.79194444,-68.76984688
Stockton,37.95055556,-121.3230271
Bridgeport,41.1725,-73.17638398
New Haven,41.28638889,-72.90954064
Port Everglades,26.08444444,-80.10865724
Savannah,32.11083333,-81.12249706
Portland,43.65333333,-70.23951708
