name,elevation,latitude,longitude
Monte Baldo,2218,45.72638889,10.84388889
Renland HP,2200,71.33333333,-26.33333333
Serra Tulu Tuloi,2140,1.19583333,-63.80000000
Gunung Benum,2107,3.82333333,102.09416667
Halla-san,1950,33.36166667,126.52916667
Sacajawea Peak,2999,45.24500000,-117.29277778
Pico de las Nueves,1949,27.96388889,-15.56583333
Pulau Sangeang,1949,-8.19666667,119.07000000
Mt. Kilkerran,1947,-9.46166667,150.76833333
Cerro Palpana,6040,-21.54666667,-68.52250000
Liushi Shan,7167,35.31583333,80.91583333
Richmond Peak,3595,-75.80000000,-115.81666667
Volcan Calbuco,2015,-41.33000000,-72.61833333
Cerro Mellizo Sur,3300,-48.55500000,-73.14083333
Kuh-e Hami,3190,30.49250000,50.89916667
Ulugh Muztagh,6973,36.41250000,87.38500000
Neacola Mtns. HP,2873,60.79861111,-153.39388889
Sanset,4745,33.68000000,74.54083333
Lunpo Gangri,7095,29.83333333,84.61333333
Gora Radzhi-Bek,5735,38.42500000,72.76000000
Malinche,4430,19.23166667,-98.03250000
